time_id,dia_semana,hora,orden,nombre_dia
D0_H0,0,0,0,Lunes
D0_H1,0,1,1,Lunes
D0_H2,0,2,2,Lunes
D0_H3,0,3,3,Lunes
D0_H4,0,4,4,Lunes
D0_H5,0,5,5,Lunes
D0_H6,0,6,6,Lunes
D0_H7,0,7,7,Lunes
D0_H8,0,8,8,Lunes
D0_H9,0,9,9,Lunes
D0_H10,0,10,10,Lunes
D0_H11,0,11,11,Lunes
D0_H12,0,12,12,Lunes
D0_H13,0,13,13,Lunes
D0_H14,0,14,14,Lunes
D0_H15,0,15,15,Lunes
D0_H16,0,16,16,Lunes
D0_H17,0,17,17,Lunes
D0_H18,0,18,18,Lunes
D0_H19,0,19,19,Lunes
D0_H20,0,20,20,Lunes
D0_H21,0,21,21,Lunes
D0_H22,0,22,22,Lunes
D0_H23,0,23,23,Lunes
D1_H0,1,0,24,Martes
D1_H1,1,1,25,Martes
D1_H2,1,2,26,Martes
D1_H3,1,3,27,Martes
D1_H4,1,4,28,Martes
D1_H5,1,5,29,Martes
D1_H6,1,6,30,Martes
D1_H7,1,7,31,Martes
D1_H8,1,8,32,Martes
D1_H9,1,9,33,Martes
D1_H10,1,10,34,Martes
D1_H11,1,11,35,Martes
D1_H12,1,12,36,Martes
D1_H13,1,13,37,Martes
D1_H14,1,14,38,Martes
D1_H15,1,15,39,Martes
D1_H16,1,16,40,Martes
D1_H17,1,17,41,Martes
D1_H18,1,18,42,Martes
D1_H19,1,19,43,Martes
D1_H20,1,20,44,Martes
D1_H21,1,21,45,Martes
D1_H22,1,22,46,Martes
D1_H23,1,23,47,Martes
D2_H0,2,0,48,Miércoles
D2_H1,2,1,49,Miércoles
D2_H2,2,2,50,Miércoles
D2_H3,2,3,51,Miércoles
D2_H4,2,4,52,Miércoles
D2_H5,2,5,53,Miércoles
D2_H6,2,6,54,Miércoles
D2_H7,2,7,55,Miércoles
D2_H8,2,8,56,Miércoles
D2_H9,2,9,57,Miércoles
D2_H10,2,10,58,Miércoles
D2_H11,2,11,59,Miércoles
D2_H12,2,12,60,Miércoles
D2_H13,2,13,61,Miércoles
D2_H14,2,14,62,Miércoles
D2_H15,2,15,63,Miércoles
D2_H16,2,16,64,Miércoles
D2_H17,2,17,65,Miércoles
D2_H18,2,18,66,Miércoles
D2_H19,2,19,67,Miércoles
D2_H20,2,20,68,Miércoles
D2_H21,2,21,69,Miércoles
D2_H22,2,22,70,Miércoles
D2_H23,2,23,71,Miércoles
D3_H0,3,0,72,Jueves
D3_H1,3,1,73,Jueves
D3_H2,3,2,74,Jueves
D3_H3,3,3,75,Jueves
D3_H4,3,4,76,Jueves
D3_H5,3,5,77,Jueves
D3_H6,3,6,78,Jueves
D3_H7,3,7,79,Jueves
D3_H8,3,8,80,Jueves
D3_H9,3,9,81,Jueves
D3_H10,3,10,82,Jueves
D3_H11,3,11,83,Jueves
D3_H12,3,12,84,Jueves
D3_H13,3,13,85,Jueves
D3_H14,3,14,86,Jueves
D3_H15,3,15,87,Jueves
D3_H16,3,16,88,Jueves
D3_H17,3,17,89,Jueves
D3_H18,3,18,90,Jueves
D3_H19,3,19,91,Jueves
D3_H20,3,20,92,Jueves
D3_H21,3,21,93,Jueves
D3_H22,3,22,94,Jueves
D3_H23,3,23,95,Jueves
D4_H0,4,0,96,Viernes
D4_H1,4,1,97,Viernes
